px1,py1,pz1,E1,px2,py2,pz2,E2
32.6,-11,26.9,43.7,-32.6,11,166,169
1.8,38.8,542,544,-1.8,-38.8,183,187
1.82,37.4,-72.2,81.4,-1.82,-37.4,-2.95,37.6
2.26,-33.4,37.2,50,-2.26,33.4,-23.1,40.7
-38.2,20,258,262,38.2,-20,569,570
-27,-19.2,27.7,43.2,27,19.2,-25.1,41.6
6.96,9.63,32.9,35,-6.96,-9.63,-57.6,58.8
-4.51,44.5,-838,839,4.51,-44.5,-1120,1120
-20.6,-36.4,-79.8,90.1,20.6,36.4,-190,195
-32.4,-21.2,160,164,32.4,21.2,47.2,61
-37.1,-34.3,5.75,50.9,37.1,34.3,-12.8,52.1
-40.1,-17.7,23.4,49.7,40.1,17.7,-1.06,43.8
-35.8,24.2,-55.3,70.2,35.8,-24.2,-12.4,45
13.6,-43.9,248,253,-13.6,43.9,248,252
23.3,5.49,-0.231,23.9,-23.3,-5.49,-141,143
1.95,-1.49,-238,238,-1.95,1.49,8.03,8.4
-27.6,-20.4,42.6,54.7,27.6,20.4,257,259
5.15,38.7,21.6,44.7,-5.15,-38.7,-26.1,47
24.9,-35.1,134,141,-24.9,35.1,129,136
11.9,20.4,-331,332,-11.9,-20.4,-21.3,31.8
23.2,-23.7,56.7,65.7,-23.2,23.7,313,315
-17.1,8.91,123,124,17.1,-8.91,2530,2530
-18.9,1.79,-23.3,30.1,18.9,-1.79,-530,531
-24.1,32.3,-1010,1010,24.1,-32.3,-365,367
37.1,-21.7,575,577,-37.1,21.7,269,272
-42.3,4.38,-81.8,92.2,42.3,-4.38,-176,181
2.07,40.1,33.6,52.4,-2.07,-40.1,109,116
-8.39,-32.5,174,177,8.39,32.5,864,864
36.4,23.3,-846,847,-36.4,-23.3,-344,346
-24.1,15.8,-24.5,37.8,24.1,-15.8,48.1,56.1
30.2,5.74,477,478,-30.2,-5.74,60.9,68.2
31.7,32.6,71.5,84.7,-31.7,-32.6,120,129
25.6,-17.4,-11.4,33,-25.6,17.4,66.1,73
15.3,1.04,-161,162,-15.3,-1.04,7.16,16.9
30.5,-8.12,16,35.4,-30.5,8.12,153,156
42.6,19.1,527,529,-42.6,-19.1,573,575
